Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP
,Dave,MacKenzie,Oxford,Ontario,Conservative
,Steven,MacKinnon,Gatineau,Quebec,Liberal
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal
,Paul,Manly,Nanaimo—Ladysmith,British Columbia,Green Party
,Simon,Marcil,Mirabel,Quebec,Bloc Québécois
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative
,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal
,Brian,Masse,Windsor West,Ontario,NDP
,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP
,Bryan,May,Cambridge,Ontario,Liberal
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party
,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative
,Kelly,McCauley,Edmonton West,Alberta,Conservative
,Phil,McColeman,Brantford—Brant,Ontario,Conservative
,Karen,McCrimmon,Kanata—Carleton,Ontario,Liberal
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal
Hon.,David,McGuinty,Ottawa South,Ontario,Liberal
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal
Hon.,Catherine,McKenna,Ottawa Centre,Ontario,Liberal
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal
,Greg,McLean,Calgary Centre,Alberta,Conservative
,Cathy,McLeod,Kamloops—Thompson—Cariboo,British Columbia,Conservative
,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal
,Heather,McPherson,Edmonton Strathcona,Alberta,NDP
,Eric,Melillo,Kenora,Ontario,Conservative
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal
Hon.,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal
,Kristina,Michaud,Avignon—La Mitis—Matane—Matapédia,Quebec,Bloc Québécois
Hon.,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal
Hon.,Maryam,Monsef,Peterborough—Kawartha,Ontario,Liberal
Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative
,Marty,Morantz,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Conservative
,Rob,Morrison,Kootenay—Columbia,British Columbia,Conservative
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal
,John,Nater,Perth—Wellington,Ontario,Conservative
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal
,Robert,Oliphant,Don Valley West,Ontario,Liberal
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal
Hon.,Erin,O'Toole,Durham,Ontario,Conservative
,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois
,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative
,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal
,Mumilaaq,Qaqqaq,Nunavut,Nunavut,NDP
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal
,Yasmin,Ratansi,Don Valley East,Ontario,Independent
,Alain,Rayes,Richmond—Arthabaska,Quebec,Conservative
,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative
Hon.,Geoff,Regan,Halifax West,Nova Scotia,Liberal
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative
Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative
,Blake,Richards,Banff—Airdrie,Alberta,Conservative
